Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
1527 鑽全,電機機械,1527,2014,1,2014-05-15,2014-05-15,8.969999999999997,0.34883720930232553,0.07427500000000001,1.0,32.93,1.0,1527,2014-08-14,36.75,0.1160036440935317,91,0.0012068169508776538,0.0012747653197091396
1527 鑽全,電機機械,1527,2014,3,2014-11-14,2014-11-14,8.6725,10.687500000000002,0.119025,1.0,36.51,1.0,1527,2015-05-15,39.19,0.07340454669953433,182,0.00038928133572757595,0.0004033216851622766
1527 鑽全,電機機械,1527,2015,2,2015-08-14,2015-08-14,6.955000000000003,2.6,0.07787499999999999,1.0,39.24,1.0,1527,2016-03-31,63.83,0.6266564729867481,230,0.0021175722201491887,0.0027245933608119484
1530 亞崴,電機機械,1530,2015,3,2015-11-14,2015-11-16,11.967499999999996,1.3333333333333333,0.06012500000000001,1.0,28.27,1.0,1530,2016-03-31,27.54,-0.025822426600636716,136,-0.00019234678137503014,-0.00018987078382821116
1532 勤美,電機機械,1532,2015,1,2015-05-15,2015-05-15,8.659999999999998,1.6363636363636362,0.0689,1.0,25.46,1.0,1532,2015-08-14,23.68,-0.06991358994501184,91,-0.0007961420656885654,-0.0007682812081869434
1532 勤美,電機機械,1532,2016,3,2016-11-14,2016-11-14,5.419999999999997,0.11494252873563215,0.06865000000000003,1.0,29.37,1.0,1532,2017-03-31,29.41,0.0013619339462036528,137,9.934409604062111e-06,9.941123694917173e-06
1541 錩泰,電機機械,1541,2015,2,2015-08-14,2015-08-14,9.55,3.2500000000000004,0.06785,1.0,17.5,1.0,1541,2016-03-31,49.06,1.8034285714285714,230,0.004491985629354156,0.007840993788819875
1541 錩泰,電機機械,1541,2016,1,2016-05-15,2016-05-16,9.642499999999998,1.627906976744186,0.062125000000000014,1.0,48.0,1.0,1541,2016-11-14,40.41,-0.15812500000000007,182,-0.0009452877240058166,-0.0008688186813186817
1558 伸興,電機機械,1558,2016,2,2016-08-14,2016-08-15,7.319999999999998,0.3291536050156741,0.06672499999999998,1.0,142.91,1.0,1558,2016-11-14,138.24,-0.03267790917360569,91,-0.00036502958507655947,-0.00035909790300665595
1558 伸興,電機機械,1558,2016,4,2017-03-31,2017-03-31,8.372499999999997,0.3993174061433445,0.06142499999999997,1.0,145.71,1.0,1558,2017-05-15,132.63,-0.08976734609841475,45,-0.0020879294258453474,-0.0019948299132981056
1560 中砂,電機機械,1560,2016,4,2017-03-31,2017-03-31,13.087499999999995,0.5421686746987953,0.0628,1.0,70.82,1.0,1560,2017-05-15,69.0,-0.025698955097430032,45,-0.000578386938339448,-0.0005710878910540007
1582 信錦,電子零組件,1582,2014,2,2014-08-14,2014-08-14,8.372499999999999,0.4629629629629629,0.0658,1.0,53.64,1.0,1582,2015-08-14,38.71,-0.2783370618941089,365,-0.0008932914454417018,-0.0007625672928605723
1582 信錦,電子零組件,1582,2015,3,2015-11-14,2015-11-16,6.950000000000001,0.15,0.077825,1.0,42.45,1.0,1582,2016-03-31,45.76,0.07797408716136611,136,0.0005522365023025166,0.0005733388761865155
1582 信錦,電子零組件,1582,2016,2,2016-08-14,2016-08-15,5.9224999999999985,0.17241379310344845,0.08975000000000001,1.0,48.95,1.0,1582,2017-05-15,63.08,0.28866189989785473,273,0.0009293854321854589,0.0010573695966954386
1604 聲寶,電器電纜,1604,2016,1,2016-05-15,2016-05-16,10.757500000000006,0.7586206896551726,0.07635,1.0,11.62,1.0,1604,2016-11-14,16.61,0.42943201376936324,182,0.0019649894521553968,0.0023595165591723255
1604 聲寶,電器電纜,1604,2016,4,2017-03-31,2017-03-31,10.847500000000005,1.0,0.06829999999999999,1.0,17.71,1.0,1604,2017-05-15,16.84,-0.04912478825522304,45,-0.0011187613411717257,-0.0010916619612271786
1709 和益,化學工業,1709,2016,2,2016-08-14,2016-08-15,7.695000000000005,0.15686274509803913,0.06497500000000002,1.0,14.43,1.0,1709,2016-11-14,14.81,0.026334026334026372,91,0.00028568096930081666,0.0002893849047695206
1709 和益,化學工業,1709,2016,4,2017-03-31,2017-03-31,7.330000000000004,1.1904761904761905,0.07597500000000001,1.0,17.98,1.0,1709,2017-05-15,17.8,-0.010011123470522798,45,-0.0002235654887426941,-0.0002224694104560622
